case,grader,radius_um,cc_id,area_px,area_mm2
abe 20250409,g1,30,266,1,4.4444444e-05
abe 20250409,g1,30,272,1,4.4444444e-05
abe 20250409,g1,30,273,4,0.00017777778
abe 20250409,g1,30,280,6,0.00026666667
abe 20250409,g1,30,283,4,0.00017777778
abe 20250409,g1,30,284,4,0.00017777778
abe 20250409,g1,30,293,2,8.8888889e-05
abe 20250409,g1,30,305,3,0.00013333333
abe 20250409,g1,30,312,4,0.00017777778
abe 20250409,g1,30,314,10,0.00044444444
abe 20250409,g1,30,323,5,0.00022222222
abe 20250409,g1,30,328,3,0.00013333333
abe 20250409,g1,30,332,1,4.4444444e-05
abe 20250409,g1,30,338,6,0.00026666667
abe 20250409,g1,30,346,5,0.00022222222
abe 20250409,g1,30,347,16,0.00071111111
abe 20250409,g1,30,348,17,0.00075555556
abe 20250409,g1,30,353,3,0.00013333333
abe 20250409,g1,30,358,8,0.00035555556
abe 20250409,g1,30,359,2,8.8888889e-05
abe 20250409,g1,30,366,1,4.4444444e-05
abe 20250409,g1,30,374,8,0.00035555556
abe 20250409,g1,30,388,1,4.4444444e-05
abe 20250409,g1,30,395,4,0.00017777778
abe 20250409,g1,30,397,2,8.8888889e-05
abe 20250409,g1,30,400,4,0.00017777778
abe 20250409,g1,30,401,7,0.00031111111
abe 20250409,g1,30,408,2,8.8888889e-05
abe 20250409,g1,30,417,5,0.00022222222
abe 20250409,g1,30,425,2,8.8888889e-05
abe 20250409,g1,30,429,4,0.00017777778
abe 20250409,g1,30,432,6,0.00026666667
abe 20250409,g1,30,435,2,8.8888889e-05
abe 20250409,g1,30,439,2,8.8888889e-05
abe 20250409,g1,30,443,1,4.4444444e-05
abe 20250409,g1,30,446,5,0.00022222222
abe 20250409,g1,30,463,1,4.4444444e-05
